width,height,loadLatency,streamBandwidth,estimatedBandwidth,decodedFrames,droppedFrames,bufferingTime,playTime,pauseTime,manifestTimeSeconds,corruptedFrames,rtt,rto
854,480,105,3077,0,93,0,0,3,2,0,0,23,200
854,480,105,3077,0,93,0,0,3,2,0,0,23,200
854,480,105,3077,0,93,0,0,3,2,0,0,23,200
854,480,105,3077,0,93,0,0,3,2,0,0,23,200
854,480,105,3077,0,93,0,0,3,2,0,0,23,200
854,480,105,3077,0,93,0,0,3,2,0,0,23,200
854,480,105,3077,0,93,0,0,3,2,0,0,23,200
854,480,105,3077,0,93,0,0,3,2,0,0,23,200
854,480,105,3077,0,93,0,0,3,2,0,0,23,200
854,480,105,3077,0,93,0,0,3,2,0,0,23,200
854,480,105,3077,0,93,0,0,3,2,0,0,23,200
854,480,105,3077,0,93,0,0,3,2,0,0,23,200
854,480,105,3077,0,93,0,0,3,2,0,0,23,200
854,480,105,3077,0,93,0,0,3,2,0,0,23,200
854,480,105,3077,0,101,0,0,4,2,0,0,23,200
854,480,105,3077,0,101,0,0,4,2,0,0,23,200
854,480,105,3077,0,101,0,0,4,2,0,0,23,200
854,480,105,3077,0,101,0,0,4,2,0,0,23,200
854,480,105,3077,0,101,0,0,4,2,0,0,23,200
854,480,105,3077,0,101,0,0,4,2,0,0,23,200
854,480,105,3077,0,101,0,0,4,2,0,0,23,200
854,480,105,3077,0,101,0,0,4,2,0,0,23,200
854,480,105,3077,0,101,0,0,4,2,0,0,23,200
854,480,105,3077,0,101,0,0,4,2,0,0,23,200
854,480,105,3077,0,101,0,0,4,2,0,0,23,200
854,480,105,3077,0,101,0,0,4,2,0,0,23,200
854,480,105,3077,0,101,0,0,4,2,0,0,23,200
854,480,105,3077,0,101,0,0,4,2,0,0,23,200
854,480,105,3077,0,109,0,0,4,2,0,0,23,200
854,480,105,3077,0,109,0,0,4,2,0,0,23,200
854,480,105,3077,0,109,0,0,4,2,0,0,23,200
854,480,105,3077,0,109,0,0,4,2,0,0,23,200
854,480,105,3077,0,109,0,0,4,2,0,0,23,200
